timestamp,value,prediction,anomaly_score,anomaly_likelihood
2015-10-14 17:21:32.879996,389.0,389.0,1.0,0.5
2015-10-14 17:21:32.886460,385.0,389.0,1.0,0.5
2015-10-14 17:21:32.892650,386.0,387.79999999999995,1.0,0.5
2015-10-14 17:21:32.899054,390.0,386.0,0.0,0.5
2015-10-14 17:21:32.905461,392.0,390.0,0.0,0.5
2015-10-14 17:21:32.911884,386.0,390.6,0.0,0.5
2015-10-14 17:21:32.918340,383.0,386.0,0.0,0.5
2015-10-14 17:21:32.924207,389.0,386.0,0.0,0.5
2015-10-14 17:21:32.930723,400.0,386.0,0.0,0.5
2015-10-14 17:21:32.936169,409.0,393.42,0.0,0.5
2015-10-14 17:21:32.942610,414.0,398.094,0.0,0.5
2015-10-14 17:21:32.947806,423.0,402.8658,0.0,0.5
2015-10-14 17:21:32.952960,415.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.959357,399.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.965747,397.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.971190,413.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.976321,409.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.982821,402.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.989236,403.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:32.994416,409.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:33.000824,408.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:33.006043,404.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:33.012462,410.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:33.017631,422.0,408.90605999999997,0.0,0.5
2015-10-14 17:21:33.023486,428.0,408.90605999999997,0.025000000000000001,0.5
2015-10-14 17:21:33.029070,426.0,414.634242,0.025000000000000001,0.5
2015-10-14 17:21:33.035529,430.0,426.0,0.025000000000000001,0.5
2015-10-14 17:21:33.040806,443.0,419.24396939999997,0.050000000000000003,0.5
2015-10-14 17:21:33.047246,473.0,426.37077858,0.32500000000000001,0.5
2015-10-14 17:21:33.052522,553.0,440.35954500599996,1.0,0.5
2015-10-14 17:21:33.058979,669.0,474.1516815041999,1.0,0.5
2015-10-14 17:21:33.064145,811.0,532.60617705294,1.0,0.5
2015-10-14 17:21:33.070575,915.0,616.124323937058,0.97499999999999998,0.5
2015-10-14 17:21:33.077023,941.0,705.7870267559406,1.0,0.5
2015-10-14 17:21:33.083426,852.0,776.3509187291584,1.0,0.5
2015-10-14 17:21:33.089850,578.0,776.3509187291584,0.84999999999999998,0.5
2015-10-14 17:21:33.095069,318.0,776.3509187291584,0.77500000000000002,0.5
2015-10-14 17:21:33.100362,294.0,776.3509187291584,0.90000000000000002,0.5
2015-10-14 17:21:33.106391,366.0,776.3509187291584,0.97499999999999998,0.5
2015-10-14 17:21:33.112823,423.0,776.3509187291584,0.375,0.5
2015-10-14 17:21:33.118287,452.0,776.3509187291584,0.29999999999999999,0.5
2015-10-14 17:21:33.124579,464.0,776.3509187291584,0.625,0.5
2015-10-14 17:21:33.131003,466.0,776.3509187291584,1.0,0.5
2015-10-14 17:21:33.137439,460.0,776.3509187291584,0.074999999999999997,0.5
2015-10-14 17:21:33.143510,455.0,776.3509187291584,0.0,0.5
2015-10-14 17:21:33.149946,461.0,776.3509187291584,0.0,0.5
2015-10-14 17:21:33.156392,464.0,776.3509187291584,0.0,0.5
2015-10-14 17:21:33.162816,467.0,463.99999999999994,0.0,0.5
2015-10-14 17:21:33.168408,471.0,466.29999999999995,0.0,0.5
2015-10-14 17:21:33.174970,476.0,466.29999999999995,0.0,0.5
2015-10-14 17:21:33.180242,476.0,466.29999999999995,0.0,0.5
2015-10-14 17:21:33.185523,473.0,473.0,1.0,0.5
2015-10-14 17:21:33.191575,477.0,477.0,1.0,0.5
2015-10-14 17:21:33.197004,491.0,491.0,1.0,0.5
2015-10-14 17:21:33.203209,506.0,506.0,1.0,0.5
2015-10-14 17:21:33.209679,504.0,504.0,1.0,0.5
2015-10-14 17:21:33.214974,500.0,500.0,1.0,0.5
2015-10-14 17:21:33.220138,509.0,509.0,1.0,0.5
2015-10-14 17:21:33.226430,518.0,518.0,1.0,0.5
2015-10-14 17:21:33.232938,520.0,520.0,1.0,0.5
2015-10-14 17:21:33.238220,528.0,528.0,1.0,0.5
2015-10-14 17:21:33.244640,542.0,542.0,1.0,0.5
2015-10-14 17:21:33.249908,548.0,548.0,1.0,0.5
2015-10-14 17:21:33.255349,557.0,557.0,1.0,0.5
2015-10-14 17:21:33.261271,569.0,569.0,1.0,0.5
2015-10-14 17:21:33.267791,583.0,583.0,1.0,0.5
2015-10-14 17:21:33.273009,597.0,597.0,1.0,0.5
2015-10-14 17:21:33.279419,611.0,611.0,1.0,0.5
2015-10-14 17:21:33.284637,621.0,621.0,1.0,0.5
2015-10-14 17:21:33.289984,634.0,634.0,1.0,0.5
2015-10-14 17:21:33.296074,649.0,649.0,1.0,0.5
2015-10-14 17:21:33.301431,660.0,660.0,1.0,0.5
2015-10-14 17:21:33.307699,665.0,665.0,1.0,0.5
2015-10-14 17:21:33.313377,665.0,665.0,1.0,0.5
2015-10-14 17:21:33.319317,665.0,665.0,1.0,0.5
2015-10-14 17:21:33.324539,668.0,668.0,1.0,0.5
2015-10-14 17:21:33.330903,671.0,671.0,1.0,0.5
2015-10-14 17:21:33.337382,664.0,665.0,1.0,0.5
2015-10-14 17:21:33.342623,646.0,665.0,1.0,0.5
2015-10-14 17:21:33.349068,624.0,624.0,1.0,0.5
2015-10-14 17:21:33.354287,603.0,603.0,1.0,0.5
2015-10-14 17:21:33.359444,580.0,344.2963999999999,1.0,0.5
2015-10-14 17:21:33.365750,552.0,344.2963999999999,1.0,0.5
2015-10-14 17:21:33.372217,528.0,528.0,1.0,0.5
2015-10-14 17:21:33.377400,513.0,476.0,1.0,0.5
2015-10-14 17:21:33.382669,499.0,476.0,1.0,0.5
2015-10-14 17:21:33.389024,483.0,476.0,1.0,0.5
2015-10-14 17:21:33.394218,476.0,476.0,1.0,0.5
2015-10-14 17:21:33.400589,473.0,476.0,0.27500000000000002,0.5
2015-10-14 17:21:33.407086,464.0,473.0,0.34999999999999998,0.5
2015-10-14 17:21:33.412276,460.0,463.99999999999994,0.20000000000000001,0.5
2015-10-14 17:21:33.417733,461.0,463.99999999999994,0.17499999999999999,0.5
2015-10-14 17:21:33.424144,458.0,461.0,0.17499999999999999,0.5
2015-10-14 17:21:33.430565,456.0,461.0,0.125,0.5
2015-10-14 17:21:33.437023,463.0,457.4,0.125,0.5
2015-10-14 17:21:33.442796,468.0,461.6,0.14999999999999999,0.5
2015-10-14 17:21:33.449276,462.0,461.6,0.10000000000000001,0.5
2015-10-14 17:21:33.455465,454.0,461.72,0.20000000000000001,0.5
2015-10-14 17:21:33.462016,457.0,463.99999999999994,0.10000000000000001,0.5
2015-10-14 17:21:33.468436,461.0,477.0,0.050000000000000003,0.5
2015-10-14 17:21:33.474861,461.0,461.504,0.050000000000000003,0.5
2015-10-14 17:21:33.481278,461.0,461.3528,0.050000000000000003,0.5
2015-10-14 17:21:33.487726,466.0,461.24695999999994,0.025000000000000001,0.5
2015-10-14 17:21:33.493469,475.0,477.0,0.34999999999999998,0.5
2015-10-14 17:21:33.498849,472.0,463.99999999999994,0.40000000000000002,0.5
2015-10-14 17:21:33.505070,468.0,461.24695999999994,0.0,0.5
2015-10-14 17:21:33.511526,477.0,466.99689999999987,0.125,0.5
2015-10-14 17:21:33.516934,487.0,466.99689999999987,0.59999999999999998,0.5
2015-10-14 17:21:33.523346,486.0,466.99689999999987,1.0,0.5
2015-10-14 17:21:33.528756,480.0,466.99689999999987,0.25,0.5
2015-10-14 17:21:33.533901,483.0,480.0,0.25,0.5
2015-10-14 17:21:33.539901,491.0,486.0,0.10000000000000001,0.5
2015-10-14 17:21:33.546308,494.0,486.0,0.074999999999999997,0.5
2015-10-14 17:21:33.551502,496.0,494.0,0.074999999999999997,0.5
2015-10-14 17:21:33.557398,491.0,494.5999999999999,0.050000000000000003,0.5
2015-10-14 17:21:33.563115,493.0,494.5999999999999,0.050000000000000003,0.5
2015-10-14 17:21:33.569605,496.0,493.0,0.050000000000000003,0.5
2015-10-14 17:21:33.574878,499.0,495.01999999999987,0.10000000000000001,0.5
2015-10-14 17:21:33.581320,504.0,495.01999999999987,0.125,0.5
2015-10-14 17:21:33.586497,505.0,495.01999999999987,0.10000000000000001,0.5
2015-10-14 17:21:33.592161,503.0,495.01999999999987,0.10000000000000001,0.5
