timestamp,value
int,int
T,
4,389
5,385
6,386
7,390
8,392
9,386
10,383
11,389
12,400
13,409
14,414
15,423
16,415
17,399
18,397
19,413
20,409
21,402
22,403
23,409
24,408
25,404
26,410
27,422
28,428
29,426
30,430
31,443
32,473
33,553
34,669
35,811
36,915
37,941
38,852
39,578
40,318
41,294
42,366
43,423
44,452
45,464
46,466
47,460
48,455
49,461
50,464
51,467
52,471
53,476
54,476
55,473
56,477
57,491
58,506
59,504
60,500
61,509
62,518
63,520
64,528
65,542
66,548
67,557
68,569
69,583
70,597
71,611
72,621
73,634
74,649
75,660
76,665
77,665
78,665
79,668
80,671
81,664
82,646
83,624
84,603
85,580
86,552
87,528
88,513
89,499
90,483
91,476
92,473
93,464
94,460
95,461
96,458
97,456
98,463
99,468
100,462
101,454
102,457
103,461
104,461
105,461
106,466
107,475
108,472
109,468
110,477
111,487
112,486
113,480
114,483
115,491
116,494
117,496
118,491
119,493
120,496
121,499
122,504
123,505
124,503
125,502
126,501
127,499
128,502
129,508
130,506
131,505
132,505
133,503
134,513
135,514
136,505
137,498
138,496
139,500
140,508
141,512
142,509
143,499
144,497
145,504
146,507
147,504
148,508
149,510
150,512
151,515
152,509
153,506
154,509
155,516
156,521
157,520
158,513
159,511
160,513
161,517
162,518
163,511
164,509
165,511
166,511
167,510
168,516
169,518
170,510
171,512
172,519
173,514
174,506
175,512
176,522
177,515
178,501
179,504
180,515
181,517
182,517
183,518
184,514
185,513
186,515
187,519
188,525
189,526
190,518
191,515
192,525
193,528
194,530
195,540
196,545
197,535
198,523
199,513
200,501
201,500
202,516
203,528
204,522
205,513
206,508
207,515
208,518
209,514
210,522
211,526
212,541
213,601
214,714
215,849
216,971
217,994
218,988
219,839
220,503
221,332
222,372
223,460
224,507
225,511
226,505
227,501
228,495
229,494
230,498
231,502
232,506
233,508
234,503
235,500
236,511
237,524
238,520
239,512
240,515
241,530
242,537
243,534
244,530
245,538
246,553
247,561
248,568
249,581
250,597
251,607
252,617
253,628
254,639
255,649
256,660
257,662
258,658
259,653
260,652
261,651
262,641
263,625
264,611
265,581
266,547
267,533
268,525
269,497
270,464
271,445
272,443
273,441
274,434
275,433
276,431
277,428
278,429
279,433
280,434
281,422
282,419
283,436
284,440
285,438
286,435
287,434
288,439
289,441
290,439
291,442
292,447
293,443
294,441
295,442
296,447
297,450
298,445
299,442
300,446
301,455
302,456
303,457
304,462
305,460
306,464
307,468
308,467
309,471
310,481
311,478
312,468
313,468
314,471
315,478
316,480
317,476
318,480
319,474
320,465
321,472
322,482
323,476
324,469
325,469
326,472
327,474
328,473
329,475
330,481
331,476
332,471
333,481
334,488
335,487
336,481
337,477
338,478
339,489
340,493
341,488
342,482
343,484
344,490
345,495
346,495
347,491
348,486
349,484
350,488
351,496
352,496
353,491
354,496
355,497
356,496
357,498
358,499
359,499
360,498
361,501
362,504
363,501
364,499
365,500
366,507
367,511
368,506
369,501
370,507
371,510
372,514
373,505
374,499
375,508
376,518
377,521
378,523
379,525
380,529
381,525
382,516
383,509
384,505
385,500
386,499
387,504
388,506
389,503
390,496
391,497
392,499
393,493
394,503
395,522
396,517
397,550
398,653
399,777
400,906
401,989
402,991
403,920
404,627
405,349
406,330
407,421
408,489
409,501
410,491
411,482
412,477
413,485
414,496
415,498
416,496
417,497
418,503
419,508
420,510
421,513
422,521
423,529
424,531
425,528
426,530
427,543
428,560
429,564
430,563
431,565
432,572
433,586
434,599
435,610
436,619
437,625
438,634
439,642
440,648
441,657
442,662
443,663
444,663
445,654
446,639
447,632
448,630
449,613
450,582
451,553
452,528
453,506
454,488
455,469
456,455
457,449
458,441
459,431
460,424
461,427
462,431
463,429
464,434
465,430
466,427
467,431
468,434
469,428
470,420
471,423
472,434
473,436
474,432
475,438
476,444
477,438
478,431
479,444
480,460
481,452
482,444
483,452
484,462
485,460
486,457
487,462
488,468
489,468
490,468
491,475
492,476
493,470
494,473
495,480
496,475
497,478
498,488
499,487
500,476
501,466
502,469
503,478
504,484
505,478
506,472
507,477
508,479
509,477
510,475
511,475
512,476
513,482
514,487
515,478
516,476
517,486
518,488
519,485
520,488
521,493
522,498
523,492
524,484
525,487
526,492
527,491
528,491
529,495
530,491
531,489
532,489
533,493
534,500
535,499
536,499
537,507
538,507
539,496
540,495
541,502
542,506
543,506
544,507
545,511
546,514
547,515
548,513
549,513
550,515
551,515
552,519
553,519
554,511
555,506
556,523
557,531
558,530
559,529
560,532
561,532
562,524
563,519
564,520
565,514
566,503
567,502
568,508
569,509
570,506
571,512
572,515
573,513
574,524
575,530
576,528
577,561
578,655
579,774
580,911
581,992
582,994
583,945
584,667
585,389
586,358
587,428
588,493
589,521
590,526
591,521
592,508
593,504
594,509
595,519
596,524
597,519
598,517
599,520
600,524
601,529
602,535
603,539
604,542
605,546
606,554
607,562
608,567
609,568
610,573
611,586
612,599
613,611
614,620
615,629
616,639
617,652
618,664
619,665
620,667
621,678
622,684
623,685
624,693
625,695
626,690
627,676
628,666
629,658
630,632
631,598
632,569
633,547
634,529
635,508
636,488
637,476
638,472
639,469
640,460
641,452
642,448
643,452
644,460
645,456
646,444
647,439
648,449
649,454
650,449
651,444
652,444
653,444
654,441
655,439
656,442
657,453
658,466
659,466
660,461
661,454
662,447
663,458
664,474
665,470
666,459
667,461
668,469
669,472
670,471
671,472
672,467
673,458
674,463
675,479
676,482
677,471
678,466
679,470
680,474
681,469
682,473
683,477
684,475
685,472
686,473
687,474
688,472
689,468
690,475
691,484
692,480
693,473
694,470
695,474
696,487
697,488
698,483
699,480
700,474
701,472
702,477
703,485
704,483
705,485
706,486
707,479
708,482
709,495
710,496
711,489
712,484
713,488
714,494
715,499
716,505
717,509
718,508
719,503
720,497
721,488
722,483
