timestamp, value
datetime, int
T,
2015-10-14 17:21:32.879996,389
2015-10-14 17:21:32.886460,385
2015-10-14 17:21:32.892650,386
2015-10-14 17:21:32.899054,390
2015-10-14 17:21:32.905461,392
2015-10-14 17:21:32.911884,386
2015-10-14 17:21:32.918340,383
2015-10-14 17:21:32.924207,389
2015-10-14 17:21:32.930723,400
2015-10-14 17:21:32.936169,409
2015-10-14 17:21:32.942610,414
2015-10-14 17:21:32.947806,423
2015-10-14 17:21:32.952960,415
2015-10-14 17:21:32.959357,399
2015-10-14 17:21:32.965747,397
2015-10-14 17:21:32.971190,413
2015-10-14 17:21:32.976321,409
2015-10-14 17:21:32.982821,402
2015-10-14 17:21:32.989236,403
2015-10-14 17:21:32.994416,409
2015-10-14 17:21:33.000824,408
2015-10-14 17:21:33.006043,404
2015-10-14 17:21:33.012462,410
2015-10-14 17:21:33.017631,422
2015-10-14 17:21:33.023486,428
2015-10-14 17:21:33.029070,426
2015-10-14 17:21:33.035529,430
2015-10-14 17:21:33.040806,443
2015-10-14 17:21:33.047246,473
2015-10-14 17:21:33.052522,553
2015-10-14 17:21:33.058979,669
2015-10-14 17:21:33.064145,811
2015-10-14 17:21:33.070575,915
2015-10-14 17:21:33.077023,941
2015-10-14 17:21:33.083426,852
2015-10-14 17:21:33.089850,578
2015-10-14 17:21:33.095069,318
2015-10-14 17:21:33.100362,294
2015-10-14 17:21:33.106391,366
2015-10-14 17:21:33.112823,423
2015-10-14 17:21:33.118287,452
2015-10-14 17:21:33.124579,464
2015-10-14 17:21:33.131003,466
2015-10-14 17:21:33.137439,460
2015-10-14 17:21:33.143510,455
2015-10-14 17:21:33.149946,461
2015-10-14 17:21:33.156392,464
2015-10-14 17:21:33.162816,467
2015-10-14 17:21:33.168408,471
2015-10-14 17:21:33.174970,476
2015-10-14 17:21:33.180242,476
2015-10-14 17:21:33.185523,473
2015-10-14 17:21:33.191575,477
2015-10-14 17:21:33.197004,491
2015-10-14 17:21:33.203209,506
2015-10-14 17:21:33.209679,504
2015-10-14 17:21:33.214974,500
2015-10-14 17:21:33.220138,509
2015-10-14 17:21:33.226430,518
2015-10-14 17:21:33.232938,520
2015-10-14 17:21:33.238220,528
2015-10-14 17:21:33.244640,542
2015-10-14 17:21:33.249908,548
2015-10-14 17:21:33.255349,557
2015-10-14 17:21:33.261271,569
2015-10-14 17:21:33.267791,583
2015-10-14 17:21:33.273009,597
2015-10-14 17:21:33.279419,611
2015-10-14 17:21:33.284637,621
2015-10-14 17:21:33.289984,634
2015-10-14 17:21:33.296074,649
2015-10-14 17:21:33.301431,660
2015-10-14 17:21:33.307699,665
2015-10-14 17:21:33.313377,665
2015-10-14 17:21:33.319317,665
2015-10-14 17:21:33.324539,668
2015-10-14 17:21:33.330903,671
2015-10-14 17:21:33.337382,664
2015-10-14 17:21:33.342623,646
2015-10-14 17:21:33.349068,624
2015-10-14 17:21:33.354287,603
2015-10-14 17:21:33.359444,580
2015-10-14 17:21:33.365750,552
2015-10-14 17:21:33.372217,528
2015-10-14 17:21:33.377400,513
2015-10-14 17:21:33.382669,499
2015-10-14 17:21:33.389024,483
2015-10-14 17:21:33.394218,476
2015-10-14 17:21:33.400589,473
2015-10-14 17:21:33.407086,464
2015-10-14 17:21:33.412276,460
2015-10-14 17:21:33.417733,461
2015-10-14 17:21:33.424144,458
2015-10-14 17:21:33.430565,456
2015-10-14 17:21:33.437023,463
2015-10-14 17:21:33.442796,468
2015-10-14 17:21:33.449276,462
2015-10-14 17:21:33.455465,454
2015-10-14 17:21:33.462016,457
2015-10-14 17:21:33.468436,461
2015-10-14 17:21:33.474861,461
2015-10-14 17:21:33.481278,461
2015-10-14 17:21:33.487726,466
2015-10-14 17:21:33.493469,475
2015-10-14 17:21:33.498849,472
2015-10-14 17:21:33.505070,468
2015-10-14 17:21:33.511526,477
2015-10-14 17:21:33.516934,487
2015-10-14 17:21:33.523346,486
2015-10-14 17:21:33.528756,480
2015-10-14 17:21:33.533901,483
2015-10-14 17:21:33.539901,491
2015-10-14 17:21:33.546308,494
2015-10-14 17:21:33.551502,496
2015-10-14 17:21:33.557398,491
2015-10-14 17:21:33.563115,493
2015-10-14 17:21:33.569605,496
2015-10-14 17:21:33.574878,499
2015-10-14 17:21:33.581320,504
2015-10-14 17:21:33.586497,505
2015-10-14 17:21:33.592161,503
2015-10-14 17:21:33.597958,502
2015-10-14 17:21:33.603335,501
2015-10-14 17:21:33.609490,499
2015-10-14 17:21:33.614815,502
2015-10-14 17:21:33.621184,508
2015-10-14 17:21:33.627704,506
2015-10-14 17:21:33.632837,505
2015-10-14 17:21:33.639262,505
2015-10-14 17:21:33.644478,503
2015-10-14 17:21:33.649681,513
2015-10-14 17:21:33.656101,514
2015-10-14 17:21:33.662559,505
2015-10-14 17:21:33.667810,498
2015-10-14 17:21:33.673873,496
2015-10-14 17:21:33.679246,500
2015-10-14 17:21:33.685891,508
2015-10-14 17:21:33.691069,512
2015-10-14 17:21:33.696918,509
2015-10-14 17:21:33.702453,499
2015-10-14 17:21:33.708979,497
2015-10-14 17:21:33.714148,504
2015-10-14 17:21:33.719467,507
2015-10-14 17:21:33.725656,504
2015-10-14 17:21:33.732117,508
2015-10-14 17:21:33.737394,510
2015-10-14 17:21:33.743012,512
2015-10-14 17:21:33.748893,515
2015-10-14 17:21:33.755403,509
2015-10-14 17:21:33.760752,506
2015-10-14 17:21:33.767217,509
2015-10-14 17:21:33.773794,516
2015-10-14 17:21:33.780268,521
2015-10-14 17:21:33.786699,520
2015-10-14 17:21:33.793120,513
2015-10-14 17:21:33.799605,511
2015-10-14 17:21:33.806054,513
2015-10-14 17:21:33.812485,517
2015-10-14 17:21:33.818574,518
2015-10-14 17:21:33.825106,511
2015-10-14 17:21:33.830424,509
2015-10-14 17:21:33.836824,511
2015-10-14 17:21:33.842640,511
2015-10-14 17:21:33.849053,510
2015-10-14 17:21:33.854286,516
