timestamp,raw_value,wavelet_value
datetime,int,float
T,,
2015-10-24 13:41:20.505931,462,507.9826415005773
2015-10-24 13:41:20.506083,464,507.73531505521885
2015-10-24 13:41:20.521818,463,507.48798860986028
2015-10-24 13:41:20.522088,463,507.24066216450171
2015-10-24 13:41:20.522242,464,506.99333571914315
2015-10-24 13:41:20.537816,464,506.74600927378469
2015-10-24 13:41:20.537992,464,506.49868282842613
2015-10-24 13:41:20.538145,465,506.25135638306756
2015-10-24 13:41:20.553707,468,506.00402993770899
2015-10-24 13:41:20.553900,471,505.75670349235043
2015-10-24 13:41:20.554055,470,505.50937704699197
2015-10-24 13:41:20.569787,472,505.2620506016334
2015-10-24 13:41:20.569962,475,505.01472415627484
2015-10-24 13:41:20.570115,475,504.75057447298468
2015-10-24 13:41:20.585785,474,504.70458763655051
2015-10-24 13:41:20.585962,478,504.71239532844652
2015-10-24 13:41:20.586113,480,504.72020302034264
2015-10-24 13:41:20.601642,478,504.72801071223864
2015-10-24 13:41:20.601819,477,504.73581840413465
2015-10-24 13:41:20.601974,480,504.74362609603065
2015-10-24 13:41:20.617794,484,504.75143378792666
2015-10-24 13:41:20.617974,486,504.75924147982266
2015-10-24 13:41:20.618127,489,504.76704917171867
2015-10-24 13:41:20.633591,491,504.77485686361467
2015-10-24 13:41:20.633772,485,504.78266455551068
2015-10-24 13:41:20.633924,476,504.79047224740668
2015-10-24 13:41:20.649744,468,504.79827993930269
2015-10-24 13:41:20.649928,465,504.80608763119869
2015-10-24 13:41:20.650084,464,504.8138953230947
2015-10-24 13:41:20.665709,463,504.82170301499082
2015-10-24 13:41:20.665895,465,504.82951070688682
2015-10-24 13:41:20.666049,468,504.83731839878283
2015-10-24 13:41:20.681675,468,504.84512609067883
2015-10-24 13:41:20.681886,467,504.85293378257484
2015-10-24 13:41:20.682041,468,504.86074147447084
2015-10-24 13:41:20.697690,469,504.86854916636685
2015-10-24 13:41:20.697874,470,504.87635685826285
2015-10-24 13:41:20.698026,478,504.88416455015886
2015-10-24 13:41:20.713695,486,504.89197224205486
2015-10-24 13:41:20.714087,494,504.89977993395087
2015-10-24 13:41:20.714275,532,504.90758762584687
2015-10-24 13:41:20.729596,611,504.91539531774288
2015-10-24 13:41:20.729847,694,504.923203009639
2015-10-24 13:41:20.730002,781,504.931010701535
2015-10-24 13:41:20.745572,804,504.93881839343101
2015-10-24 13:41:20.745818,767,504.94662608532701
2015-10-24 13:41:20.745972,674,504.95443377722302
2015-10-24 13:41:20.746124,483,504.96224146911902
2015-10-24 13:41:20.761858,358,504.79200326615
2015-10-24 13:41:20.762117,355,504.61058276543577
2015-10-24 13:41:20.762283,389,504.42916226472153
2015-10-24 13:41:20.777741,433,504.24774176400729
2015-10-24 13:41:20.777918,465,504.06632126329316
2015-10-24 13:41:20.778073,477,503.88490076257892
2015-10-24 13:41:20.793714,478,503.70348026186468
2015-10-24 13:41:20.793890,475,503.52205976115056
2015-10-24 13:41:20.794043,477,503.34063926043632
2015-10-24 13:41:20.809720,481,503.15921875972208
2015-10-24 13:41:20.809900,487,502.97779825900784
2015-10-24 13:41:20.810055,492,502.7963777582936
2015-10-24 13:41:20.825688,494,502.61495725757948
2015-10-24 13:41:20.825866,497,502.43353675686524
2015-10-24 13:41:20.826019,498,502.252116256151
2015-10-24 13:41:20.841692,500,502.07069575543676
2015-10-24 13:41:20.841867,503,501.88927525472263
2015-10-24 13:41:20.842019,510,501.70785475400839
2015-10-24 13:41:20.857656,515,501.52643425329416
2015-10-24 13:41:20.857831,519,501.34501375257992
2015-10-24 13:41:20.857984,523,501.16359325186568
2015-10-24 13:41:20.873625,529,500.98217275115144
2015-10-24 13:41:20.873799,534,500.8007522504372
2015-10-24 13:41:20.873947,539,500.61933174972296
2015-10-24 13:41:20.889717,546,500.43791124900883
2015-10-24 13:41:20.889900,555,500.25649074829471
2015-10-24 13:41:20.890056,562,500.07507024758047
2015-10-24 13:41:20.905600,567,499.89364974686623
2015-10-24 13:41:20.905779,575,499.71222924615199
2015-10-24 13:41:20.905934,585,499.53080874543775
2015-10-24 13:41:20.921661,592,499.34938824472351
2015-10-24 13:41:20.921847,596,499.16796774400927
2015-10-24 13:41:20.922003,600,499.00725276690321
2015-10-24 13:41:20.937582,601,498.7947308602337
2015-10-24 13:41:20.937764,601,498.60550266762345
2015-10-24 13:41:20.937916,598,498.41627447501321
2015-10-24 13:41:20.953584,594,498.22704628240297
2015-10-24 13:41:20.953768,589,498.03781808979284
2015-10-24 13:41:20.953918,582,497.84858989718259
2015-10-24 13:41:20.969496,572,497.65936170457235
2015-10-24 13:41:20.969745,561,497.4701335119621
2015-10-24 13:41:20.969898,547,497.28090531935186
2015-10-24 13:41:20.985577,530,497.09167712674162
2015-10-24 13:41:20.985839,512,496.90244893413137
2015-10-24 13:41:20.985994,496,496.71322074152113
2015-10-24 13:41:21.001466,483,496.52399254891088
2015-10-24 13:41:21.001717,471,496.33476435630064
2015-10-24 13:41:21.001873,461,496.14553616369039
2015-10-24 13:41:21.002025,455,495.95630797108015
2015-10-24 13:41:21.017493,450,495.76707977846991
2015-10-24 13:41:21.017672,446,495.57785158585966
2015-10-24 13:41:21.017822,444,495.38862339324942
2015-10-24 13:41:21.033666,445,495.19939520063917
2015-10-24 13:41:21.033849,446,495.01016700802893
2015-10-24 13:41:21.034001,443,494.82093881541869
2015-10-24 13:41:21.049480,443,494.63171062280844
2015-10-24 13:41:21.049656,445,494.4424824301982
2015-10-24 13:41:21.049806,444,494.25325423758795
2015-10-24 13:41:21.065618,443,494.06402604497771
2015-10-24 13:41:21.065837,445,493.87479785236746
2015-10-24 13:41:21.065994,448,493.68556965975722
2015-10-24 13:41:21.081582,450,493.49634146714698
2015-10-24 13:41:21.081762,451,493.30711327453673
2015-10-24 13:41:21.081915,453,493.11788508192649
2015-10-24 13:41:21.097701,457,492.92865688931624
2015-10-24 13:41:21.097969,459,492.739428696706
2015-10-24 13:41:21.098133,460,492.57501725763711
2015-10-24 13:41:21.113616,462,492.42093368471541
2015-10-24 13:41:21.113793,464,492.23708592160699
2015-10-24 13:41:21.113943,464,492.05323815849857
2015-10-24 13:41:21.129638,467,491.86939039539004
2015-10-24 13:41:21.129895,470,491.68554263228162
2015-10-24 13:41:21.130074,471,491.50169486917321
2015-10-24 13:41:21.145564,470,491.31784710606479
2015-10-24 13:41:21.145741,472,491.13399934295626
2015-10-24 13:41:21.145989,475,490.95015157984784
2015-10-24 13:41:21.161558,476,490.76630381673942
2015-10-24 13:41:21.161746,477,490.58245605363101
2015-10-24 13:41:21.161901,475,490.39860829052253
2015-10-24 13:41:21.177610,477,490.21476052741411
2015-10-24 13:41:21.177884,477,490.03091276430564
2015-10-24 13:41:21.178065,475,489.84706500119722
2015-10-24 13:41:21.193510,474,489.66321723808875
2015-10-24 13:41:21.193695,476,489.47936947498033
2015-10-24 13:41:21.193854,475,489.29552171187191
2015-10-24 13:41:21.209417,475,489.1116739487635
2015-10-24 13:41:21.209672,475,488.92782618565496
2015-10-24 13:41:21.209827,475,488.74397842254655
2015-10-24 13:41:21.225383,475,488.56013065943813
2015-10-24 13:41:21.225633,473,488.37628289632971
2015-10-24 13:41:21.225789,473,488.19243513322118
2015-10-24 13:41:21.241329,474,488.00858737011276
2015-10-24 13:41:21.241581,472,487.82473960700435
2015-10-24 13:41:21.241736,473,487.64089184389593
2015-10-24 13:41:21.241888,474,487.45704408078745
2015-10-24 13:41:21.257570,473,487.27319631767904
2015-10-24 13:41:21.257751,473,487.08934855457056
2015-10-24 13:41:21.257905,476,486.90550079146215
2015-10-24 13:41:21.273591,479,486.72165302835373
2015-10-24 13:41:21.273770,479,486.53780526524531
2015-10-24 13:41:21.273925,476,486.53200339700197
2015-10-24 13:41:21.289514,478,486.53738382650386
2015-10-24 13:41:21.289688,484,486.54276425600568
2015-10-24 13:41:21.289837,484,486.54814468550751
2015-10-24 13:41:21.305493,482,486.55352511500928
2015-10-24 13:41:21.305673,485,486.55890554451111
2015-10-24 13:41:21.305827,488,486.56428597401293
2015-10-24 13:41:21.321514,488,486.56966640351476
2015-10-24 13:41:21.321693,491,486.57504683301659
2015-10-24 13:41:21.321848,493,486.58042726251841
2015-10-24 13:41:21.337468,491,486.58580769202024
